Assay_Type	AvgSpotLen	BioSample	Experiment	InsertSize	Instrument	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	birth_date	body_site	breed	geo_loc_name	isolate	label	pathovar	phenotype	sex	tissue	BioProject	BioSampleModel	Center_Name	Consent	LibraryLayout	Platform	SRA_Study	collection_date
WGS	200	SAMN02743818	SRX545277	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C02	2014-05-16	3292	2455	Corvus corone corone	2014-05-30	SRR1290010	SRS604004	D_Ko_C02	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C02	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743818	SRX545277	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C02	2014-05-16	3882	2873	Corvus corone corone	2014-05-30	SRR1290011	SRS604004	D_Ko_C02	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C02	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743818	SRX545277	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C02	2014-05-16	3856	2858	Corvus corone corone	2014-05-30	SRR1290019	SRS604004	D_Ko_C02	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C02	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743818	SRX545277	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C02	2014-05-16	3895	2848	Corvus corone corone	2014-05-30	SRR1290024	SRS604004	D_Ko_C02	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C02	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743819	SRX535392	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C04	2014-05-13	1881	1165	Corvus corone corone	2014-05-30	SRR1284299	SRS604005	D_Ko_C04	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C04	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743819	SRX535392	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C04	2014-05-13	3162	2252	Corvus corone corone	2014-05-30	SRR1284300	SRS604005	D_Ko_C04	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C04	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743819	SRX535392	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C04	2014-05-13	3134	2235	Corvus corone corone	2014-05-30	SRR1284302	SRS604005	D_Ko_C04	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C04	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743819	SRX535392	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C04	2014-05-13	3189	2226	Corvus corone corone	2014-05-30	SRR1284304	SRS604005	D_Ko_C04	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C04	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743819	SRX535392	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C04	2014-05-13	9783	6943	Corvus corone corone	2014-05-30	SRR1284307	SRS604005	D_Ko_C04	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C04	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743820	SRX535393	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C05	2014-05-13	2257	1653	Corvus corone corone	2014-05-30	SRR1284320	SRS604006	D_Ko_C05	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C05	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743820	SRX535393	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C05	2014-05-13	1806	1341	Corvus corone corone	2014-05-30	SRR1284321	SRS604006	D_Ko_C05	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C05	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743820	SRX535393	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C05	2014-05-13	1809	1337	Corvus corone corone	2014-05-30	SRR1284322	SRS604006	D_Ko_C05	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C05	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743820	SRX535393	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C05	2014-05-13	1807	1330	Corvus corone corone	2014-05-30	SRR1284323	SRS604006	D_Ko_C05	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C05	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743820	SRX535393	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C05	2014-05-14	3836	2674	Corvus corone corone	2014-05-30	SRR1284324	SRS604006	D_Ko_C05	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C05	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743821	SRX535394	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C08	2014-05-13	3404	2499	Corvus corone corone	2014-05-30	SRR1284325	SRS604007	D_Ko_C08	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C08	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743821	SRX535394	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C08	2014-05-13	1851	1376	Corvus corone corone	2014-05-30	SRR1284326	SRS604007	D_Ko_C08	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C08	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743821	SRX535394	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C08	2014-05-13	1855	1372	Corvus corone corone	2014-05-30	SRR1284327	SRS604007	D_Ko_C08	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C08	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02743821	SRX535394	0	Illumina HiSeq 2000	RANDOM	GENOMIC	D_Ko_C08	2014-05-13	1855	1368	Corvus corone corone	2014-05-30	SRR1284328	SRS604007	D_Ko_C08	NA	NA		blood	NA	Konstanz, Germany	NA	D_Ko_C08	blood		Male		PRJNA192205	Model organism or animal	UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
