AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	Assay_Type	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Platform	ReleaseDate	SRA_Study
200	SAMEA3334435	ERX926231	DNA_340	2572	1819	Corvus corone orientalis	ERR845320	ERS699974	DNA_340	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334594	ERX930775	DNA_345	3387	2386	Corvus corone orientalis	ERR849864	ERS700133	DNA_345	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334595	ERX930783	DNA_353	2578	1806	Corvus corone orientalis	ERR849872	ERS700134	DNA_353	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334596	ERX930785	DNA_355	1869	1324	Corvus corone orientalis	ERR849874	ERS700135	DNA_355	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334597	ERX930786	DNA_356	3176	2252	Corvus corone orientalis	ERR849875	ERS700136	DNA_356	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334598	ERX930787	DNA_357	2961	2087	Corvus corone orientalis	ERR849876	ERS700137	DNA_357	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334599	ERX930788	DNA_358	3564	2479	Corvus corone orientalis	ERR849877	ERS700138	DNA_358	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334600	ERX930791	DNA_361	3388	2385	Corvus corone orientalis	ERR849880	ERS700139	DNA_361	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334601	ERX930795	DNA_365	3838	2319	Corvus corone orientalis	ERR849884	ERS700140	DNA_365	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334602	ERX930796	DNA_366	6831	4089	Corvus corone orientalis	ERR849885	ERS700141	DNA_366	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334603	ERX930797	DNA_367	7348	4370	Corvus corone orientalis	ERR849886	ERS700142	DNA_367	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334604	ERX930798	DNA_368	6624	4226	Corvus corone orientalis	ERR849887	ERS700143	DNA_368	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334605	ERX930800	DNA_370	7703	4929	Corvus corone orientalis	ERR849889	ERS700144	DNA_370	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334606	ERX930802	DNA_372	3684	2332	Corvus corone orientalis	ERR849891	ERS700145	DNA_372	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334607	ERX930803	DNA_373	5346	3404	Corvus corone orientalis	ERR849892	ERS700146	DNA_373	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
