AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	Assay_Type	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Platform	ReleaseDate	SRA_Study
199	SAMEA3334560	ERX930903	DNA_473	3939	2595	Corvus dauuricus	ERR849992	ERS700099	DNA_473	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
199	SAMEA3334561	ERX930904	DNA_474	4108	2742	Corvus dauuricus	ERR849993	ERS700100	DNA_474	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
199	SAMEA3334562	ERX930911	DNA_481	3385	2224	Corvus dauuricus	ERR850000	ERS700101	DNA_481	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
199	SAMEA3334563	ERX930912	DNA_482	3540	2358	Corvus dauuricus	ERR850001	ERS700102	DNA_482	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
199	SAMEA3334564	ERX930915	DNA_485	3822	2558	Corvus dauuricus	ERR850004	ERS700103	DNA_485	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
199	SAMEA3334565	ERX930916	DNA_486	4009	2718	Corvus dauuricus	ERR850005	ERS700104	DNA_486	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334566	ERX930937	DNA_507	3756	2541	Corvus dauuricus	ERR850026	ERS700105	DNA_507	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334567	ERX930938	DNA_508	3797	2577	Corvus dauuricus	ERR850027	ERS700106	DNA_508	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334568	ERX930953	DNA_523	3205	2165	Corvus dauuricus	ERR850042	ERS700107	DNA_523	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334569	ERX930954	DNA_524	3246	2199	Corvus dauuricus	ERR850043	ERS700108	DNA_524	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334570	ERX930967	DNA_537	3551	2438	Corvus dauuricus	ERR850056	ERS700109	DNA_537	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334571	ERX930968	DNA_538	3588	2469	Corvus dauuricus	ERR850057	ERS700110	DNA_538	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334572	ERX930978	DNA_548	2794	1784	Corvus dauuricus	ERR850067	ERS700111	DNA_548	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334573	ERX930980	DNA_550	7692	4888	Corvus dauuricus	ERR850069	ERS700112	DNA_550	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
200	SAMEA3334574	ERX930984	DNA_554	14751	9558	Corvus dauuricus	ERR850073	ERS700113	DNA_554	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
180	SAMEA3334575	ERX930988	DNA_558	11657	8739	Corvus dauuricus	ERR850077	ERS700114	DNA_558	WGS	PRJEB9057	UPPSALA UNIVERSITET	public	300	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2016-08-11	ILLUMINA	2016-08-10	ERP010115
