AvgSpotLen	BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	ecotype	isolate	lat_lon	sex	Assay_Type	AssemblyName	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	age	breed	cultivar	dev_stage	strain	tissue
199	SAMN05930393	SRX2313558	BI-50	2018-05-11	5079	3029	2018-05-17	SRR4781320	SRS1770960	BI-50	04-Aug-2011	Block Island	BI-50	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930394	SRX2313559	BI-52	2018-05-11	9796	5673	2018-05-17	SRR4781324	SRS1770959	BI-52	04-Aug-2011	Block Island	BI-52	41.1818 N 71.5793 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930395	SRX2313560	BI-53	2018-05-11	14832	8186	2018-05-17	SRR4781327	SRS1770961	BI-53	04-Aug-2011	Block Island	BI-53	41.1818 N 71.5793 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930396	SRX2313561	BI-54	2018-05-14	4807	2790	2018-05-20	SRR4781331	SRS1770962	BI-54	04-Aug-2011	Block Island	BI-54	41.1818 N 71.5793 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930397	SRX2313562	BI-55	2018-05-14	12810	7571	2018-05-20	SRR4781334	SRS1770964	BI-55	04-Aug-2011	Block Island	BI-55	41.1818 N 71.5793 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930398	SRX2313563	BI-56	2018-05-14	12367	7139	2018-05-20	SRR4781338	SRS1770963	BI-56	04-Aug-2011	Block Island	BI-56	41.1818 N 71.5793 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930399	SRX2313564	BI-5	2018-05-14	7089	3979	2018-05-20	SRR4781341	SRS1770966	BI-5	04-Aug-2011	Block Island	BI-5	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930400	SRX2313565	BI-6	2018-05-14	10234	5934	2018-05-20	SRR4781346	SRS1770965	BI-6	04-Aug-2011	Block Island	BI-6	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930391	SRX2313566	BI-48	2018-05-14	5520	3206	2018-05-20	SRR4781349	SRS1770967	BI-48	04-Aug-2011	Block Island	BI-48	41.1818 N 71.5793 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930392	SRX2313567	BI-49	2018-05-14	4440	2688	2018-05-20	SRR4781352	SRS1770968	BI-49	04-Aug-2011	Block Island	BI-49	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930643	SRX2313568	NBH-6	2018-05-14	8454	5028	2018-05-20	SRR4781355	SRS1770969	NBH-6	22-Jul-2008	New Bedford Harbor	NBH-6	41.6676 N 70.9159 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
202	SAMN05930428	SRX2313569	BP-32	2018-05-14	309	326	2018-05-20	SRR4781361	SRS1770970	BP-32	17-Dec-2008	Bridgeport	BP-32	41.1570 N 73.2189 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
202	SAMN05930427	SRX2313570	BP-31	2018-05-14	827	489	2018-05-20	SRR4781364	SRS1770971	BP-31	17-Dec-2008	Bridgeport	BP-31	41.1570 N 73.2189 W	female	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
