AvgSpotLen	BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	country	sex	Assay_Type	AssemblyName	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
225	SAMEA2785538	ERX593930	SP_11_450	2015-02-26	30990	14024	Ficedula hypoleuca	2014-11-05	ERR637485	ERS555228	SP_11		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
227	SAMEA2785539	ERX593931	SP_12_450	2015-02-27	25420	11632	Ficedula hypoleuca	2014-11-05	ERR637486	ERS555229	SP_12		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
223	SAMEA2785540	ERX593932	SP_13_450	2015-02-27	31545	14396	Ficedula hypoleuca	2014-11-05	ERR637487	ERS555230	SP_13		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
214	SAMEA2785541	ERX593933	SP_14_450	2015-02-27	36198	16543	Ficedula hypoleuca	2014-11-05	ERR637488	ERS555231	SP_14		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
218	SAMEA2785542	ERX593934	SP_15_450	2015-02-27	33687	15261	Ficedula hypoleuca	2014-11-05	ERR637489	ERS555232	SP_15		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785543	ERX593935	SP_16_450	2017-09-19	18210	7893	Ficedula hypoleuca	2014-11-05	ERR637490	ERS555233	SP_16		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785544	ERX593936	SP_18-2_450	2017-09-19	14918	6994	Ficedula hypoleuca	2014-11-05	ERR637491	ERS555234	SP_18-2		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785545	ERX593937	SP_19_450	2017-09-19	12681	5590	Ficedula hypoleuca	2014-11-05	ERR637492	ERS555235	SP_19		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785546	ERX593938	SP_20-1_450	2017-09-19	13106	5891	Ficedula hypoleuca	2014-11-05	ERR637493	ERS555236	SP_20-1		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785547	ERX593939	SP_SP17-2_450	2017-09-19	14584	6651	Ficedula hypoleuca	2014-11-05	ERR637494	ERS555237	SP_SP17-2		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785548	ERX593940	SP_SV10_450	2015-02-27	18007	7923	Ficedula hypoleuca	2014-11-05	ERR637495	ERS555238	SP_SV10		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
214	SAMEA2785549	ERX593941	SP_SV1_450	2017-09-19	20155	8919	Ficedula hypoleuca	2014-11-05	ERR637496	ERS555239	SP_SV1		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
211	SAMEA2785550	ERX593942	SP_SV2_450	2015-02-27	23927	10879	Ficedula hypoleuca	2014-11-05	ERR637497	ERS555240	SP_SV2		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
227	SAMEA2785551	ERX593943	SP_SV3_450	2017-09-19	20717	9344	Ficedula hypoleuca	2014-11-05	ERR637498	ERS555241	SP_SV3		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
211	SAMEA2785552	ERX593944	SP_SV4_450	2015-02-27	25531	11723	Ficedula hypoleuca	2014-11-05	ERR637499	ERS555242	SP_SV4		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
221	SAMEA2785553	ERX593945	SP_SV5_450	2015-02-27	26750	12140	Ficedula hypoleuca	2014-11-05	ERR637500	ERS555243	SP_SV5		Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785554	ERX593946	SP_SV6_450	2017-09-19	16128	7043	Ficedula hypoleuca	2014-11-05	ERR637501	ERS555244	SP_SV6		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785555	ERX593947	SP_SV7_450	2015-02-27	21803	10305	Ficedula hypoleuca	2014-11-05	ERR637502	ERS555245	SP_SV7		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785556	ERX593948	SP_SV8_450	2017-09-19	15521	6989	Ficedula hypoleuca	2014-11-05	ERR637503	ERS555246	SP_SV8		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA2785557	ERX593949	SP_SV9_450	2017-09-19	14113	6393	Ficedula hypoleuca	2014-11-05	ERR637504	ERS555247	SP_SV9		Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA3167980	ERX638819	CZP_312350_450	2017-09-19	14439	6547	Ficedula hypoleuca	2015-01-29	ERR693839	ERS622598	CZP_312350	Czech Republic	Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
222	SAMEA3167981	ERX638820	CZP_312382_450	2015-02-26	23832	11586	Ficedula hypoleuca	2015-01-29	ERR693840	ERS622599	CZP_312382	Czech Republic	Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
214	SAMEA3167982	ERX638821	CZP_312466_450	2017-09-19	16108	7766	Ficedula hypoleuca	2015-01-29	ERR693841	ERS622600	CZP_312466	Czech Republic	Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA3167983	ERX638822	CZP_312467_450	2017-09-19	15784	7309	Ficedula hypoleuca	2015-01-29	ERR693842	ERS622601	CZP_312467	Czech Republic	Male	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
200	SAMEA3167984	ERX638823	CZP_312470_450	2017-09-19	18975	8166	Ficedula hypoleuca	2015-01-29	ERR693843	ERS622602	CZP_312470	Czech Republic	Female	WGS	GCF_000247815.1	PRJEB7359	UPPSALA  UNIVERSITY	public	450	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	ILLUMINA	ERP007074
