AvgSpotLen	BioSample	Experiment	InsertSize	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	Sample_Name	Sample_name	analysis_type	gssr_id	host_sex	instrument_name	isolation_source	lane	lsid	project	region	strain	work_request	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	LibrarySelection	LibrarySource	Organism	SRA_Study	geographic_location_country_and_or_sea_region
36	SAMN00627549	SRX076626	0	Illumina Genome Analyzer II	SINGLE	Solexa-206	6/28/15	406	865	ILLUMINA	6/15/11	SRR278639	SRS211997	PRJNA167910.Neu5/Neu3	Neu5/Neu3	WGSWithRef	11589	Male	SL-XAH	fins	5	BROAD:SEQUENCING_SAMPLE:11589.0	G1259		NEU (Germany)	13205	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627549	SRX076626	0	Illumina Genome Analyzer II	SINGLE	Solexa-206	6/28/15	436	1068	ILLUMINA	6/15/11	SRR278644	SRS211997	PRJNA167910.Neu5/Neu3	Neu5/Neu3	WGSWithRef	11589	Male	SL-XAH	fins	1	BROAD:SEQUENCING_SAMPLE:11589.0	G1259		NEU (Germany)	13205	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627549	SRX076626	0	Illumina Genome Analyzer II	SINGLE	Solexa-206	6/28/15	412	905	ILLUMINA	6/15/11	SRR278645	SRS211997	PRJNA167910.Neu5/Neu3	Neu5/Neu3	WGSWithRef	11589	Male	SL-XAH	fins	7	BROAD:SEQUENCING_SAMPLE:11589.0	G1259		NEU (Germany)	13205	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627549	SRX076626	0	Illumina Genome Analyzer II	SINGLE	Solexa-206	6/28/15	412	912	ILLUMINA	6/15/11	SRR278647	SRS211997	PRJNA167910.Neu5/Neu3	Neu5/Neu3	WGSWithRef	11589	Male	SL-XAH	fins	6	BROAD:SEQUENCING_SAMPLE:11589.0	G1259		NEU (Germany)	13205	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627549	SRX076626	0	Illumina Genome Analyzer II	SINGLE	Solexa-206	6/28/15	433	1061	ILLUMINA	6/15/11	SRR278648	SRS211997	PRJNA167910.Neu5/Neu3	Neu5/Neu3	WGSWithRef	11589	Male	SL-XAH	fins	3	BROAD:SEQUENCING_SAMPLE:11589.0	G1259		NEU (Germany)	13205	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627549	SRX076626	0	Illumina Genome Analyzer II	SINGLE	Solexa-206	6/28/15	377	746	ILLUMINA	6/15/11	SRR278649	SRS211997	PRJNA167910.Neu5/Neu3	Neu5/Neu3	WGSWithRef	11589	Male	SL-XAH	fins	8	BROAD:SEQUENCING_SAMPLE:11589.0	G1259		NEU (Germany)	13205	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627549	SRX076626	0	Illumina Genome Analyzer II	SINGLE	Solexa-206	6/28/15	466	1210	ILLUMINA	6/15/11	SRR278651	SRS211997	PRJNA167910.Neu5/Neu3	Neu5/Neu3	WGSWithRef	11589	Male	SL-XAH	fins	2	BROAD:SEQUENCING_SAMPLE:11589.0	G1259		NEU (Germany)	13205	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627550	SRX076627	0	Illumina Genome Analyzer II	SINGLE	Solexa-2709	6/28/15	107	71	ILLUMINA	6/15/11	SRR278652	SRS211998	PRJNA167910.NOST5/NOST3	NOST5/NOST3	WGSWithRef	12405		SL-XAB	fins	7	BROAD:SEQUENCING_SAMPLE:12405.0	G1260		Norway Stream (NOST)	13206	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627550	SRX076627	0	Illumina Genome Analyzer II	SINGLE	Solexa-2709	6/28/15	83	52	ILLUMINA	6/15/11	SRR278650	SRS211998	PRJNA167910.NOST5/NOST3	NOST5/NOST3	WGSWithRef	12405		SL-XAB	fins	3	BROAD:SEQUENCING_SAMPLE:12405.0	G1260		Norway Stream (NOST)	13206	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627550	SRX076627	0	Illumina Genome Analyzer II	SINGLE	Solexa-2709	6/28/15	110	67	ILLUMINA	6/15/11	SRR278646	SRS211998	PRJNA167910.NOST5/NOST3	NOST5/NOST3	WGSWithRef	12405		SL-XAB	fins	1	BROAD:SEQUENCING_SAMPLE:12405.0	G1260		Norway Stream (NOST)	13206	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
