BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	ecotype	lat_lon	sex	specimen_voucher	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	tissue
SAMN06323936	SRX2575047	Pond-70214	2759	1406	SRR5270996	SRS1990815	WDPL_X_2009#05	lake	53.647121802 N 132.098328481 W	female	WDPL_X_2009#05	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323935	SRX2575048	Pond-70258	3491	1751	SRR5270997	SRS1990816	WATT_X_2009#05	lake	53.764633599 N 132.070859784 W	female	WATT_X_2009#05	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323934	SRX2575049	Pond-70265	5580	2773	SRR5270998	SRS1990817	STIU_X_2009#03	lake	53.244507898 N 132.588068083 W	female	STIU_X_2009#03	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323933	SRX2575050	Pond-70244	5661	2769	SRR5270999	SRS1990818	SPNC_O_2010#14	stream	53.974716204 N 131.781403361 W	female	SPNC_O_2010#14	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323932	SRX2575051	Pond-70237	5530	2708	SRR5271000	SRS1990819	SPNC_O_2010#08	stream	53.974716204 N 131.781403361 W	female	SPNC_O_2010#08	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323931	SRX2575052	Pond-70230	5579	2729	SRR5271001	SRS1990820	SPNC_L_2009#02	lake	53.974716204 N 131.781403361 W	female	SPNC_L_2009#02	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323930	SRX2575053	Pond-70222	5381	2645	SRR5271002	SRS1990821	SPNC_L_2009#01	lake	53.974716204 N 131.781403361 W	female	SPNC_L_2009#01	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323929	SRX2575054	Pond-164298	2754	1227	SRR5271003	SRS1990822	SLVR|X|2009#29996	lake	54.103117883 N 131.685371428 W	female	SLVR|X|2009#29996	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323928	SRX2575055	Pond-164300	3093	1366	SRR5271004	SRS1990823	SLTC|X|X#90458	lake	53.940503904 N 131.931242677 W	female	SLTC|X|X#90458	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
SAMN06323927	SRX2575056	Pond-164299	3150	1399	SRR5271005	SRS1990824	SKON|X|X#12	lake	53.910133626 N 132.030670465 W	female	SKON|X|X#12	WGS	assembly	152	PRJNA374462	Model organism or animal	public	sra	ncbi	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2017-02-21	Gasterosteus aculeatus	ILLUMINA	2017-05-15	SRP100209	adult	fin clip
