study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	read_count	base_count	fastq_ftp	fastq_galaxy	submitted_galaxy	sra_ftp
PRJEB14672	SAMEA4060536	ERS1231646	ERX1584439	ERR1513412	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_01	300	PAIRED	4947969	1180113606	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513412/ERR1513412.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513412/ERR1513412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513412/ERR1513412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513412/ERR1513412.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513412/ERR1513412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513412/ERR1513412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_01.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_01.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/002/ERR1513412
PRJEB14672	SAMEA4060537	ERS1231647	ERX1584440	ERR1513413	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_02	300	PAIRED	5066861	1210451256	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513413/ERR1513413.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513413/ERR1513413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513413/ERR1513413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513413/ERR1513413.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513413/ERR1513413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513413/ERR1513413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_02.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/003/ERR1513413
PRJEB14672	SAMEA4060538	ERS1231648	ERX1584441	ERR1513414	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_05	300	PAIRED	4731194	1130259564	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513414/ERR1513414.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513414/ERR1513414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513414/ERR1513414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513414/ERR1513414.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513414/ERR1513414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513414/ERR1513414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_05.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_05.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/004/ERR1513414
PRJEB14672	SAMEA4060539	ERS1231649	ERX1584442	ERR1513415	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_06	300	PAIRED	4930602	1173704238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513415/ERR1513415.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513415/ERR1513415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513415/ERR1513415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513415/ERR1513415.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513415/ERR1513415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513415/ERR1513415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_06.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_06.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/005/ERR1513415
PRJEB14672	SAMEA4060540	ERS1231650	ERX1584443	ERR1513416	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_07	300	PAIRED	4623901	1098836298	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513416/ERR1513416.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513416/ERR1513416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513416/ERR1513416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513416/ERR1513416.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513416/ERR1513416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513416/ERR1513416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_07.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_07.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/006/ERR1513416
PRJEB14672	SAMEA4060541	ERS1231651	ERX1584444	ERR1513417	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_09	300	PAIRED	5387079	1289685222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513417/ERR1513417.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513417/ERR1513417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513417/ERR1513417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513417/ERR1513417.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513417/ERR1513417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513417/ERR1513417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_09.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_09.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/007/ERR1513417
PRJEB14672	SAMEA4060542	ERS1231652	ERX1584445	ERR1513418	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_10	300	PAIRED	5364561	1285642386	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513418/ERR1513418.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513418/ERR1513418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513418/ERR1513418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513418/ERR1513418.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513418/ERR1513418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513418/ERR1513418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_10.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_10.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/008/ERR1513418
PRJEB14672	SAMEA4060543	ERS1231653	ERX1584446	ERR1513419	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_13	300	PAIRED	5342823	1276209018	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1513419/ERR1513419.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1513419/ERR1513419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1513419/ERR1513419_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1513419/ERR1513419.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1513419/ERR1513419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1513419/ERR1513419_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_13.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_13.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/009/ERR1513419
PRJEB14672	SAMEA4060544	ERS1231654	ERX1584447	ERR1513420	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_16	300	PAIRED	4516230	1085715288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1513420/ERR1513420.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1513420/ERR1513420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1513420/ERR1513420_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1513420/ERR1513420.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1513420/ERR1513420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1513420/ERR1513420_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_16.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_16.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/000/ERR1513420
PRJEB14672	SAMEA4060545	ERS1231655	ERX1584448	ERR1513421	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_17	300	PAIRED	5661111	1355350752	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1513421/ERR1513421.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1513421/ERR1513421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1513421/ERR1513421_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1513421/ERR1513421.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1513421/ERR1513421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1513421/ERR1513421_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_17.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_17.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/001/ERR1513421
PRJEB14672	SAMEA4060546	ERS1231656	ERX1584449	ERR1513422	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_18	300	PAIRED	9505159	2255393322	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513422/ERR1513422.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513422/ERR1513422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513422/ERR1513422_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513422/ERR1513422.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513422/ERR1513422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513422/ERR1513422_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_18.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_18.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/002/ERR1513422
PRJEB14672	SAMEA4060547	ERS1231657	ERX1584450	ERR1513423	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_19	300	PAIRED	5118141	1223105436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513423/ERR1513423.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513423/ERR1513423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513423/ERR1513423_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513423/ERR1513423.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513423/ERR1513423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513423/ERR1513423_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_19.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_19.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/003/ERR1513423
PRJEB14672	SAMEA4060548	ERS1231658	ERX1584451	ERR1513424	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_20	300	PAIRED	4907273	1167550650	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513424/ERR1513424.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513424/ERR1513424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513424/ERR1513424_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513424/ERR1513424.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513424/ERR1513424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513424/ERR1513424_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_20.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_20.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/004/ERR1513424
PRJEB14672	SAMEA4060549	ERS1231659	ERX1584452	ERR1513425	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_21	300	PAIRED	6137259	1465085916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513425/ERR1513425.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513425/ERR1513425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513425/ERR1513425_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513425/ERR1513425.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513425/ERR1513425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513425/ERR1513425_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_21.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_21.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/005/ERR1513425
PRJEB14672	SAMEA4060550	ERS1231660	ERX1584453	ERR1513426	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_22	300	PAIRED	5361237	1286278434	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513426/ERR1513426.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513426/ERR1513426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513426/ERR1513426_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513426/ERR1513426.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513426/ERR1513426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513426/ERR1513426_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_22.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_22.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/006/ERR1513426
PRJEB14672	SAMEA4060551	ERS1231661	ERX1584454	ERR1513427	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_24	300	PAIRED	4200085	1009793232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513427/ERR1513427.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513427/ERR1513427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513427/ERR1513427_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513427/ERR1513427.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513427/ERR1513427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513427/ERR1513427_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_24.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_24.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/007/ERR1513427
PRJEB14672	SAMEA4060552	ERS1231662	ERX1584455	ERR1513428	8049	Gadus morhua	Illumina HiSeq 2000	AVE_M_14_25	300	PAIRED	4641124	1117520208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513428/ERR1513428.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513428/ERR1513428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513428/ERR1513428_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513428/ERR1513428.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513428/ERR1513428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513428/ERR1513428_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_25.bam;ftp.sra.ebi.ac.uk/vol1/ERA670/ERA670800/bam/AVE_M_14_25.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR151/008/ERR1513428
