AvgSpotLen	BioSample	Experiment	Instrument	LibraryLayout	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	Sample_Name	breed	collection_date	geo_loc_name	isolate	isolation_source	sex	sub_species	tissue	Assay_Type	BioProject	BioSampleModel	Consent	InsertSize	LibrarySelection	SRA_Study
126	SAMN05224096	SRX2023501	Illumina HiSeq 2000	PAIRED	GENOMIC	3661	2016-08-15	5705	2031	Heliconius erato chestertonii	ILLUMINA	2017-03-08	SRR4031992	SRS1617992	3661		01-Jan-2012	Colombia	Heliconius erato chestertonii 3661	A1	male	chestertonii	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224097	SRX2023502	Illumina HiSeq 2000	PAIRED	GENOMIC	3662	2016-08-15	15122	5487	Heliconius erato chestertonii	ILLUMINA	2017-03-08	SRR4031993	SRS1617993	3662		01-Jan-2012	Colombia	Heliconius erato chestertonii 3662	Colombia	male	chestertonii	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224106	SRX2023503	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3224	2016-08-15	8566	3359	Heliconius erato notabilis	ILLUMINA	2017-03-08	SRR4031994	SRS1617994	BC3224		01-Jan-2012	Ecuador	Heliconius erato notabilis BC3224	Huamboya	female	notabilis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
241	SAMN05224196	SRX2023504	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM0087	2016-08-15	13544	7435	Heliconius erato demophoon	ILLUMINA	2017-03-08	SRR4031995	SRS1617995	STRIWOM0087		01-Jan-2012	Panama	Heliconius erato demophoon STRIWOM0087	Panama	male	demophoon	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
245	SAMN05224197	SRX2023505	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM0088	2016-08-15	15012	8228	Heliconius erato hydara	ILLUMINA	2017-03-08	SRR4031996	SRS1617996	STRIWOM0088		01-Jan-2012	Panama	Heliconius erato hydara STRIWOM0088	Panama	male	hydara	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224198	SRX2023506	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM1284	2016-08-15	13490	8618	Heliconius erato demophoon	ILLUMINA	2017-03-08	SRR4031997	SRS1617997	STRIWOM1284		01-Jan-2012	Panama	Heliconius erato demophoon STRIWOM1284	Panama	male	demophoon	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
231	SAMN05224200	SRX2023508	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5193	2016-08-15	11051	6070	Heliconius erato hydara	ILLUMINA	2017-03-08	SRR4031999	SRS1617999	STRIWOM5193		01-Jan-2012	Panama	Heliconius erato hydara STRIWOM5193	Panama	male	hydara	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
237	SAMN05224201	SRX2023509	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5351	2016-08-15	9611	5327	Heliconius erato hydara	ILLUMINA	2017-03-08	SRR4032000	SRS1618000	STRIWOM5351		01-Jan-2012	Panama	Heliconius erato hydara STRIWOM5351	Panama	male	hydara	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224202	SRX2023510	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5353	2016-08-15	12879	8213	Heliconius erato demophoon	ILLUMINA	2017-03-08	SRR4032001	SRS1618001	STRIWOM5353		01-Jan-2012	Panama	Heliconius erato demophoon STRIWOM5353	Panama	female	demophoon	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224203	SRX2023511	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5362	2016-08-15	12376	7995	Heliconius erato demophoon	ILLUMINA	2017-03-08	SRR4032002	SRS1618002	STRIWOM5362		01-Jan-2012	Panama	Heliconius erato demophoon STRIWOM5362	Panama	female	demophoon	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224204	SRX2023512	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5732	2016-08-15	10655	7844	Heliconius erato phyllis	ILLUMINA	2017-03-08	SRR4032003	SRS1618003	STRIWOM5732		01-Jan-2012	Bolivia	Heliconius erato phyllis STRIWOM5732	Bolivia	male	phyllis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224205	SRX2023513	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5742	2016-08-15	12688	9265	Heliconius erato phyllis	ILLUMINA	2017-03-08	SRR4032004	SRS1618004	STRIWOM5742		01-Jan-2012	Bolivia	Heliconius erato phyllis STRIWOM5742	Bolivia	male	phyllis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224107	SRX2023514	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3225	2016-08-15	9006	3561	Heliconius erato notabilis	ILLUMINA	2017-03-08	SRR4032005	SRS1618005	BC3225		01-Jan-2012	Ecuador	Heliconius erato notabilis BC3225	Huamboya	female	notabilis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224206	SRX2023515	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5765	2016-08-15	12262	8929	Heliconius erato phyllis	ILLUMINA	2017-03-08	SRR4032006	SRS1618006	STRIWOM5765		01-Jan-2012	Bolivia	Heliconius erato phyllis STRIWOM5765	Bolivia	male	phyllis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
245	SAMN05224207	SRX2023516	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5766	2016-08-15	10485	5831	Heliconius erato phyllis	ILLUMINA	2017-03-08	SRR4032007	SRS1618007	STRIWOM5766		01-Jan-2012	Bolivia	Heliconius erato phyllis STRIWOM5766	Bolivia	male	phyllis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224208	SRX2023517	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5779	2016-08-15	13806	10342	Heliconius erato amalfreda	ILLUMINA	2017-03-08	SRR4032008	SRS1618008	STRIWOM5779		01-Jan-2012	Suriname	Heliconius erato amalfreda STRIWOM5779	Brokopondo	male		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224209	SRX2023518	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5780	2017-03-14	11936	9040	Heliconius erato amalfreda	ILLUMINA	2017-03-14	SRR4032009	SRS1618009	STRIWOM5780		01-Jan-2012	Suriname	Heliconius erato amalfreda STRIWOM5780	Brokopondo	female		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
