Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Experiment	InsertSize	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	biomaterial_provider	breed	isolate	sex	tissue	Consent	LibraryLayout	LibrarySource	Organism	Platform
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03083651	Model organism or animal	BCM	SRX751388	234	Illumina HiSeq 2000	RANDOM	IWG_IND-MAMUCA.25P-1_2pA	2014-11-05	118549	65325	2014-12-04	SRR1640559	SRS737125	SRP049547	MMUL.IN-36468	Adult	Julie Horvath, CPRC (Caribbean Primate Research Center)	Indian	36468	female	blood	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264600	Model organism or animal	BCM	SRX966727	174	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.24898-1_1pA	2015-03-24	118472	59083	2015-04-30	SRR1927133	SRS882230	SRP049547	MMUL.IN-24898	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	24898	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	201	PRJNA251548	SAMN03264601	Model organism or animal	BCM	SRX966728	136	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.27347-1_1pA	2015-03-24	122035	78457	2015-04-30	SRR1927136	SRS882231	SRP049547	MMUL.IN-27347	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	27347	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264606	Model organism or animal	BCM	SRX966733	197	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28500-1_1pA	2015-03-24	26638	12340	2015-04-30	SRR1927147	SRS882232	SRP049547	MMUL.IN-28500	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28500	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264605	Model organism or animal	BCM	SRX966732	199	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28499-1_1pA	2015-03-24	31928	16817	2015-04-30	SRR1927145	SRS882233	SRP049547	MMUL.IN-28499	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28499	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264604	Model organism or animal	BCM	SRX966731	202	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28492-1_1pA	2015-03-24	21113	10521	2015-04-30	SRR1927143	SRS882234	SRP049547	MMUL.IN-28492	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28492	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264602	Model organism or animal	BCM	SRX966730	203	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28473-1_1pA	2015-03-24	26299	12432	2015-04-30	SRR1927141	SRS882235	SRP049547	MMUL.IN-28473	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28473	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264603	Model organism or animal	BCM	SRX966729	196	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28474-1_1pA	2015-03-24	23743	11311	2015-04-30	SRR1927139	SRS882236	SRP049547	MMUL.IN-28474	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28474	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	201	PRJNA251548	SAMN03264599	Model organism or animal	BCM	SRX966726	147	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.23138-1_1pA	2015-03-24	132819	75088	2015-04-30	SRR1927129	SRS882237	SRP049547	MMUL.IN-23138	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	23138	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264598	Model organism or animal	BCM	SRX966725	149	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.19466-1_1pA	2015-03-24	118579	59936	2015-04-30	SRR1927125	SRS882238	SRP049547	MMUL.IN-19466	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	19466	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
