study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	read_count	base_count	fastq_ftp	sra_ftp	sample_title
PRJEB21643	ERP023915	SAMEA104152058	ERS1811076	ERX2085518	ERR2026385	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	HISEQ:66:C24CPACXX	180	PAIRED	26806265	5304175700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2026385/ERR2026385.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2026385/ERR2026385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2026385/ERR2026385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/005/ERR2026385	Pcol01
PRJEB21643	ERP023915	SAMEA104152947	ERS1811965	ERX2085863	ERR2026730	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	31926267	6317661700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2026730/ERR2026730.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2026730/ERR2026730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2026730/ERR2026730_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/000/ERR2026730	Pcol02
PRJEB21643	ERP023915	SAMEA104152948	ERS1811966	ERX2085864	ERR2026731	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	32657262	6439131500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2026731/ERR2026731.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2026731/ERR2026731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2026731/ERR2026731_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/001/ERR2026731	Pcol04
PRJEB21643	ERP023915	SAMEA104152949	ERS1811967	ERX2085865	ERR2026732	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	29026344	5726912600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2026732/ERR2026732.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2026732/ERR2026732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2026732/ERR2026732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/002/ERR2026732	Pcol06
PRJEB21643	ERP023915	SAMEA104152950	ERS1811968	ERX2085866	ERR2026733	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	32473929	6425563500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2026733/ERR2026733.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2026733/ERR2026733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2026733/ERR2026733_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/003/ERR2026733	Pcol07
PRJEB21643	ERP023915	SAMEA104152951	ERS1811969	ERX2085867	ERR2026734	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	27416613	5426705600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2026734/ERR2026734.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2026734/ERR2026734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2026734/ERR2026734_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/004/ERR2026734	Pcol09
PRJEB21643	ERP023915	SAMEA104152952	ERS1811970	ERX2085868	ERR2026735	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	24977779	4938774000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2026735/ERR2026735.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2026735/ERR2026735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2026735/ERR2026735_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/005/ERR2026735	Pcol10
PRJEB21643	ERP023915	SAMEA104152953	ERS1811971	ERX2085869	ERR2026736	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	19644120	3874355800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2026736/ERR2026736.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2026736/ERR2026736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2026736/ERR2026736_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/006/ERR2026736	Pcol11
PRJEB21643	ERP023915	SAMEA104152954	ERS1811972	ERX2085870	ERR2026737	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	22432526	4433976300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2026737/ERR2026737.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2026737/ERR2026737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2026737/ERR2026737_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/007/ERR2026737	Pcol12
PRJEB21643	ERP023915	SAMEA104152955	ERS1811973	ERX2085871	ERR2026738	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	28448165	5620745900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2026738/ERR2026738.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2026738/ERR2026738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2026738/ERR2026738_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/008/ERR2026738	Pcol03
PRJEB21643	ERP023915	SAMEA104157447	ERS1816465	ERX2088800	ERR2029743	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	19474095	3769946400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029743/ERR2029743.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029743/ERR2029743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029743/ERR2029743_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/003/ERR2029743	Pcol24
PRJEB21643	ERP023915	SAMEA104157448	ERS1816466	ERX2088801	ERR2029744	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	22287345	4330755100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029744/ERR2029744.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029744/ERR2029744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029744/ERR2029744_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/004/ERR2029744	Pcol25
PRJEB21643	ERP023915	SAMEA104157449	ERS1816467	ERX2088802	ERR2029745	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	28212735	5455245200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029745/ERR2029745.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029745/ERR2029745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029745/ERR2029745_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/005/ERR2029745	Pcol26
PRJEB21643	ERP023915	SAMEA104157450	ERS1816468	ERX2088803	ERR2029746	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	29144041	5699087500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029746/ERR2029746.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029746/ERR2029746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029746/ERR2029746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/006/ERR2029746	Pcol27
PRJEB21643	ERP023915	SAMEA104157451	ERS1816469	ERX2088804	ERR2029747	216579	Phylloscopus collybita abietinus	Illumina HiSeq 2000	unspecified	180	PAIRED	27499730	5382769400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029747/ERR2029747.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029747/ERR2029747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029747/ERR2029747_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/007/ERR2029747	Pcol29
