study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	read_count	base_count	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJEB22939	SAMEA104363372	ERS1988350	ERX2241597	ERR2185478	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	54689550	10849950600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185478/ERR2185478.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185478/ERR2185478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185478/ERR2185478_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/008/ERR2185478	1	ItalianIslandSparrow
PRJEB22939	SAMEA104363373	ERS1988351	ERX2241598	ERR2185479	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	52575284	10431872200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185479/ERR2185479.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185479/ERR2185479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185479/ERR2185479_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/009/ERR2185479	2	ItalianIslandSparrow
PRJEB22939	SAMEA104363374	ERS1988352	ERX2241599	ERR2185480	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	41961780	8325838600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185480/ERR2185480.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185480/ERR2185480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185480/ERR2185480_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/000/ERR2185480	3	ItalianIslandSparrow
PRJEB22939	SAMEA104363375	ERS1988353	ERX2241600	ERR2185481	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	39602746	7862484400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185481/ERR2185481.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185481/ERR2185481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185481/ERR2185481_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/001/ERR2185481	4	ItalianIslandSparrow
PRJEB22939	SAMEA104363376	ERS1988354	ERX2241601	ERR2185482	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	36426417	7241607400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185482/ERR2185482.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185482/ERR2185482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185482/ERR2185482_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/002/ERR2185482	5	ItalianIslandSparrow
PRJEB22939	SAMEA104363377	ERS1988355	ERX2241602	ERR2185483	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	47314235	9380913500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185483/ERR2185483.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185483/ERR2185483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185483/ERR2185483_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/003/ERR2185483	6	ItalianIslandSparrow
PRJEB22939	SAMEA104363378	ERS1988356	ERX2241603	ERR2185484	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	45314545	8954058400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185484/ERR2185484.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185484/ERR2185484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185484/ERR2185484_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/004/ERR2185484	7	ItalianIslandSparrow
PRJEB22939	SAMEA104363379	ERS1988357	ERX2241604	ERR2185485	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	40970712	8110710300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185485/ERR2185485.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185485/ERR2185485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185485/ERR2185485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/005/ERR2185485	8	ItalianIslandSparrow
PRJEB22939	SAMEA104363380	ERS1988358	ERX2241605	ERR2185486	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	37527051	7445093000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185486/ERR2185486.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185486/ERR2185486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185486/ERR2185486_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/006/ERR2185486	9	ItalianIslandSparrow
PRJEB22939	SAMEA104363381	ERS1988359	ERX2241606	ERR2185487	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	37407288	7426021700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185487/ERR2185487.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185487/ERR2185487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185487/ERR2185487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/007/ERR2185487	10	ItalianIslandSparrow
