study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	read_count	base_count	fastq_ftp	sra_ftp	sample_title
PRJEB21643	ERP023915	SAMEA104156767	ERS1815785	ERX2088781	ERR2029724	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	28709962	5627524900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029724/ERR2029724.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029724/ERR2029724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029724/ERR2029724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/004/ERR2029724	Pcol13
PRJEB21643	ERP023915	SAMEA104156768	ERS1815786	ERX2088782	ERR2029725	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	30958338	5991084600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029725/ERR2029725.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029725/ERR2029725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029725/ERR2029725_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/005/ERR2029725	Pcol14
PRJEB21643	ERP023915	SAMEA104156769	ERS1815787	ERX2088783	ERR2029726	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	27997550	5490526400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029726/ERR2029726.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029726/ERR2029726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029726/ERR2029726_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/006/ERR2029726	Pcol15
PRJEB21643	ERP023915	SAMEA104156770	ERS1815788	ERX2088784	ERR2029727	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	26181847	5125166800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029727/ERR2029727.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029727/ERR2029727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029727/ERR2029727_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/007/ERR2029727	Pcol16
PRJEB21643	ERP023915	SAMEA104156771	ERS1815789	ERX2088785	ERR2029728	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	26297810	5153597400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2029728/ERR2029728.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2029728/ERR2029728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2029728/ERR2029728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/008/ERR2029728	Pcol17
PRJEB21643	ERP023915	SAMEA104156772	ERS1815790	ERX2088786	ERR2029729	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	26530891	5180381100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2029729/ERR2029729.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2029729/ERR2029729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2029729/ERR2029729_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/009/ERR2029729	Pcol18
PRJEB21643	ERP023915	SAMEA104156773	ERS1815791	ERX2088787	ERR2029730	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	26134005	5138500800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2029730/ERR2029730.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2029730/ERR2029730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2029730/ERR2029730_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/000/ERR2029730	Pcol19
PRJEB21643	ERP023915	SAMEA104156774	ERS1815792	ERX2088788	ERR2029731	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	25740538	5067863200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2029731/ERR2029731.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2029731/ERR2029731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2029731/ERR2029731_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/001/ERR2029731	Pcol510
PRJEB21643	ERP023915	SAMEA104156776	ERS1815794	ERX2088789	ERR2029732	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	27218175	5312553400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2029732/ERR2029732.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2029732/ERR2029732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2029732/ERR2029732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/002/ERR2029732	Pcol704
PRJEB21643	ERP023915	SAMEA104156775	ERS1815793	ERX2088790	ERR2029733	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	10368691	1855192600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029733/ERR2029733.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029733/ERR2029733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029733/ERR2029733_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/003/ERR2029733	Pcol703
