study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	library_strategy	read_count	base_count	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_bytes	sra_ftp	sample_title
PRJEB10586	SAMEA3532857	ERS840006	ERX1092185	ERR1013161	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	142832882	28564502700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013161/ERR1013161.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013161/ERR1013161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013161/ERR1013161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013161/ERR1013161.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013161/ERR1013161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013161/ERR1013161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/101.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/101.recal.bam	20259320241	ftp.sra.ebi.ac.uk/vol1/err/ERR101/001/ERR1013161	zebra finch (wild)
PRJEB10586	SAMEA3532858	ERS840007	ERX1092186	ERR1013162	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	161018933	32201302500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013162/ERR1013162.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013162/ERR1013162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013162/ERR1013162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013162/ERR1013162.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013162/ERR1013162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013162/ERR1013162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/105.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/105.recal.bam	22858902651	ftp.sra.ebi.ac.uk/vol1/err/ERR101/002/ERR1013162	zebra finch (wild)
PRJEB10586	SAMEA3532859	ERS840008	ERX1092187	ERR1013163	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	144976178	28993149900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013163/ERR1013163.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013163/ERR1013163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013163/ERR1013163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013163/ERR1013163.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013163/ERR1013163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013163/ERR1013163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/109.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/109.recal.bam	20436548562	ftp.sra.ebi.ac.uk/vol1/err/ERR101/003/ERR1013163	zebra finch (wild)
PRJEB10586	SAMEA3532860	ERS840009	ERX1092188	ERR1013164	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	140064405	28010917500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013164/ERR1013164.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013164/ERR1013164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013164/ERR1013164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013164/ERR1013164.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013164/ERR1013164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013164/ERR1013164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/113.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/113.recal.bam	19780894805	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1013164	zebra finch (wild)
PRJEB10586	SAMEA3532861	ERS840010	ERX1092189	ERR1013165	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	156721250	31342201000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013165/ERR1013165.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013165/ERR1013165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013165/ERR1013165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013165/ERR1013165.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013165/ERR1013165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013165/ERR1013165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/117.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/117.recal.bam	22224918620	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1013165	zebra finch (wild)
PRJEB10586	SAMEA3532862	ERS840011	ERX1092190	ERR1013166	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	126378223	25273803900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013166/ERR1013166.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013166/ERR1013166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013166/ERR1013166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013166/ERR1013166.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013166/ERR1013166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013166/ERR1013166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/121.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/121.recal.bam	17920535150	ftp.sra.ebi.ac.uk/vol1/err/ERR101/006/ERR1013166	zebra finch (wild)
PRJEB10586	SAMEA3532863	ERS840012	ERX1092191	ERR1013167	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	161625002	32322845200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013167/ERR1013167.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013167/ERR1013167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013167/ERR1013167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013167/ERR1013167.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013167/ERR1013167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013167/ERR1013167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/129.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/129.recal.bam	22944470788	ftp.sra.ebi.ac.uk/vol1/err/ERR101/007/ERR1013167	zebra finch (wild)
PRJEB10586	SAMEA3532864	ERS840013	ERX1092192	ERR1013168	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	126518855	25302244400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013168/ERR1013168.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013168/ERR1013168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013168/ERR1013168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013168/ERR1013168.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013168/ERR1013168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013168/ERR1013168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/133.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/133.recal.bam	17948922047	ftp.sra.ebi.ac.uk/vol1/err/ERR101/008/ERR1013168	zebra finch (wild)
PRJEB10586	SAMEA3532865	ERS840014	ERX1092193	ERR1013169	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	127948607	25588026300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013169/ERR1013169.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013169/ERR1013169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013169/ERR1013169_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013169/ERR1013169.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013169/ERR1013169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013169/ERR1013169_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/137.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/137.recal.bam	18051229908	ftp.sra.ebi.ac.uk/vol1/err/ERR101/009/ERR1013169	zebra finch (wild)
PRJEB10586	SAMEA3532866	ERS840015	ERX1092194	ERR1013170	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	145160041	29030329400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013170/ERR1013170.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013170/ERR1013170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013170/ERR1013170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013170/ERR1013170.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013170/ERR1013170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013170/ERR1013170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/141.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478713/bam/141.recal.bam	20547196511	ftp.sra.ebi.ac.uk/vol1/err/ERR101/000/ERR1013170	zebra finch (wild)
