Assay_Type	AvgSpotLen	BioSample	Experiment	InsertSize	Instrument	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	birth_date	body_site	breed	geo_loc_name	isolate	label	pathovar	phenotype	sex	tissue	BioProject	BioSampleModel	Center_Name	Consent	LibraryLayout	Platform	SRA_Study	collection_date
WGS	200	SAMN02439805	SRX528796	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H02	2014-04-29	1839	1310	Corvus cornix cornix	2014-05-30	SRR1265092	SRS598531	PL_Wa_H02				blood		Poland: Warsaw		PL_Wa_H02	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439805	SRX528796	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H02	2014-04-29	1809	1284	Corvus cornix cornix	2014-05-30	SRR1265093	SRS598531	PL_Wa_H02				blood		Poland: Warsaw		PL_Wa_H02	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439805	SRX528796	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H02	2014-04-29	1991	1404	Corvus cornix cornix	2014-05-30	SRR1265094	SRS598531	PL_Wa_H02				blood		Poland: Warsaw		PL_Wa_H02	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439805	SRX528796	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H02	2014-04-29	1794	1301	Corvus cornix cornix	2014-05-30	SRR1265091	SRS598531	PL_Wa_H02				blood		Poland: Warsaw		PL_Wa_H02	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439805	SRX528796	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H02	2014-04-29	1821	1319	Corvus cornix cornix	2014-05-30	SRR1265090	SRS598531	PL_Wa_H02				blood		Poland: Warsaw		PL_Wa_H02	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439806	SRX528830	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H03	2014-04-29	2393	1644	Corvus cornix cornix	2014-05-30	SRR1265100	SRS598563	PL_Wa_H03				blood		Poland: Warsaw		PL_Wa_H03	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439806	SRX528830	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H03	2014-04-29	1578	958	Corvus cornix cornix	2014-05-30	SRR1265101	SRS598563	PL_Wa_H03				blood		Poland: Warsaw		PL_Wa_H03	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439806	SRX528830	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H03	2014-04-29	2308	1618	Corvus cornix cornix	2014-05-30	SRR1265102	SRS598563	PL_Wa_H03				blood		Poland: Warsaw		PL_Wa_H03	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439806	SRX528830	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H03	2014-04-29	2285	1605	Corvus cornix cornix	2014-05-30	SRR1265103	SRS598563	PL_Wa_H03				blood		Poland: Warsaw		PL_Wa_H03	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
WGS	200	SAMN02439807	SRX528833	0	Illumina HiSeq 2000	RANDOM	GENOMIC	PL_Wa_H05	2014-04-29	2227	1662	Corvus cornix cornix	2014-05-30	SRR1265105	SRS598564	PL_Wa_H05				blood		Poland: Warsaw		PL_Wa_H05	blood		Male		PRJNA192205		UPPSALA UNIVERSITY	public	PAIRED	ILLUMINA	SRP022901	2010
