AvgSpotLen	BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	ecotype	isolate	lat_lon	sex	Assay_Type	AssemblyName	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	age	breed	cultivar	dev_stage	strain	tissue
199	SAMN05930356	SRX2313695	BI-10	5/14/18	10534	5737	5/20/18	SRR4781723	SRS1771096	BI-10	4-Aug-11	Block Island	BI-10	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930357	SRX2313690	BI-11	5/14/18	8434	4667	5/20/18	SRR4781716	SRS1771091	BI-11	4-Aug-11	Block Island	BI-11	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930358	SRX2313691	BI-12	5/14/18	13819	7693	5/20/18	SRR4781718	SRS1771092	BI-12	4-Aug-11	Block Island	BI-12	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930359	SRX2313692	BI-14	5/14/18	11235	6298	5/20/18	SRR4781720	SRS1771093	BI-14	4-Aug-11	Block Island	BI-14	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930360	SRX2313693	BI-15	5/14/18	9504	5316	5/20/18	SRR4781721	SRS1771095	BI-15	4-Aug-11	Block Island	BI-15	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930361	SRX2313656	BI-17	5/14/18	12000	6643	5/20/18	SRR4781612	SRS1771057	BI-17	4-Aug-11	Block Island	BI-17	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930362	SRX2313655	BI-19	5/14/18	7837	4490	5/20/18	SRR4781610	SRS1771056	BI-19	4-Aug-11	Block Island	BI-19	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930373	SRX2313711	BI-2	5/14/18	12107	6709	5/20/18	SRR4781748	SRS1771112	BI-2	4-Aug-11	Block Island	BI-2	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930363	SRX2313646	BI-20	5/14/18	13333	7844	5/20/18	SRR4781581	SRS1771047	BI-20	4-Aug-11	Block Island	BI-20	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
199	SAMN05930364	SRX2313645	BI-21	5/14/18	7823	4384	5/20/18	SRR4781578	SRS1771045	BI-21	4-Aug-11	Block Island	BI-21	41.1818 N 71.5793 W	male	WGS	assembly	PRJNA323589	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Fundulus heteroclitus	ILLUMINA	SRP092392	Not applicable	Not applicable	Not applicable	adult	Not applicable	caudal fin
