study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	read_count	base_count	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	sample_alias	sample_title
PRJEB7359	SAMEA2785380	ERS555102	ERX593877	ERR637360	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	125544934	27784538000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637360/ERR637360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637360/ERR637360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637360	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637360	OC_1	OC_1
PRJEB7359	SAMEA2785381	ERS555103	ERX593878	ERR637361	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	142032700	29722523366	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637361/ERR637361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637361/ERR637361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637361	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637361	OC_2	OC_2
PRJEB7359	SAMEA2785382	ERS555104	ERX593879	ERR637362	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	132073730	28777787200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637362/ERR637362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637362/ERR637362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637362	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637362	OC_3	OC_3
PRJEB7359	SAMEA2785383	ERS555105	ERX593880	ERR637363	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	116666167	25979126000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637363/ERR637363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637363/ERR637363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_4_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_4_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637363	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637363	OC_4	OC_4
PRJEB7359	SAMEA2785384	ERS555106	ERX593881	ERR637364	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	106266815	23694046600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637364/ERR637364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637364/ERR637364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_5_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_5_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637364	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637364	OC_5	OC_5
PRJEB7359	SAMEA2785385	ERS555107	ERX593882	ERR637365	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	73839556	14767911200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637365/ERR637365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637365/ERR637365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_6_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_6_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637365	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637365	OC_6	OC_6
PRJEB7359	SAMEA2785386	ERS555108	ERX593883	ERR637366	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	98893234	19778646800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637366/ERR637366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637366/ERR637366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_7_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_7_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637366	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637366	OC_7	OC_7
PRJEB7359	SAMEA2785387	ERS555109	ERX593884	ERR637367	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	59084278	11816855600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637367/ERR637367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637367/ERR637367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_8_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_8_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637367	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637367	OC_8	OC_8
PRJEB7359	SAMEA2785388	ERS555110	ERX593885	ERR637368	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	186495007	37299001400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637368/ERR637368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637368/ERR637368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_10_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_10_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637368	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637368	OC_10	OC_10
PRJEB7359	SAMEA2785389	ERS555111	ERX593886	ERR637369	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	125379439	29577306468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637369/ERR637369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637369/ERR637369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637369	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637369	OC_HB1	OC_HB1
PRJEB7359	SAMEA2785390	ERS555112	ERX593887	ERR637370	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	155107900	35575800838	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637370/ERR637370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637370/ERR637370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637370	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637370	OC_HB2	OC_HB2
PRJEB7359	SAMEA2785391	ERS555113	ERX593888	ERR637371	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	133698154	31160141512	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637371/ERR637371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637371/ERR637371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637371	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637371	OC_HB3	OC_HB3
