AvgSpotLen	BioSample	ENA_FIRST_PUBLIC	Experiment	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	geographic_location_country_and_or_sea	lat_lon	sex	tissue_type	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_LAST_UPDATE	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study
35	SAMEA2338557	2014-01-10	ERX373363	3500	NG-5241_4kb.BS10	2017-12-05	2643	1376	2014-03-02	ERR407002	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA2338582	2014-01-10	ERX373364	3500	NG-5241_4kb.BS11	2017-12-05	2951	1700	2014-03-02	ERR407003	ERS391886	BS11	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA2338545	2014-01-10	ERX373365	3500	NG-5241_4kb.BS12	2017-12-05	3128	1839	2014-03-03	ERR407004	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
101	SAMEA2338580	2014-01-10	ERX373366	3500	NG-5241_4kb.BS13	2017-12-05	6399	3946	2014-03-03	ERR407005	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338575	2014-01-10	ERX373367	3500	NG-5241_4kb.BS14	2017-12-05	2468	1495	2014-03-02	ERR407006	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338595	2014-01-10	ERX373368	3500	NG-5241_4kb.BS15	2017-12-05	2557	1572	2014-03-02	ERR407007	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338565	2014-01-10	ERX373369	3500	NG-5241_4kb.BS16	2017-12-05	2525	1545	2014-03-02	ERR407008	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338584	2014-01-10	ERX373370	3500	NG-5241_4kb.BS17	2017-12-05	2789	1844	2014-03-03	ERR407009	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
71	SAMEA2338541	2014-01-10	ERX373371	3500	NG-5241_4kb.BS18	2017-12-05	2768	1564	2014-03-02	ERR407010	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
71	SAMEA2338539	2014-01-10	ERX373372	3500	NG-5241_4kb.BS19	2017-12-05	2614	1422	2014-03-02	ERR407011	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338587	2014-01-10	ERX373373	3500	NG-5241_4kb.BS1	2017-12-05	2473	1278	2014-03-02	ERR407012	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
71	SAMEA2338592	2014-01-10	ERX373374	3500	NG-5241_4kb.BS20	2017-12-05	2616	1431	2014-03-03	ERR407013	ERS391920	BS20	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
71	SAMEA2338560	2014-01-10	ERX373375	3500	NG-5241_4kb.BS21	2017-12-05	2721	1501	2014-03-03	ERR407014	ERS391867	BS21	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338549	2014-01-10	ERX373376	3500	NG-5241_4kb.BS22	2017-12-05	1672	778	2014-03-02	ERR407015	ERS391921	BS22	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
71	SAMEA2338581	2014-01-10	ERX373377	3500	NG-5241_4kb.BS23	2017-12-05	2559	1368	2014-03-03	ERR407016	ERS391868	BS23	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
