AvgSpotLen	BioSample	Experiment	Instrument	LibraryLayout	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	Sample_Name	breed	collection_date	geo_loc_name	isolate	isolation_source	sex	sub_species	tissue	Assay_Type	BioProject	BioSampleModel	Consent	InsertSize	LibrarySelection	SRA_Study
202	SAMN05572290	SRX2020825	Illumina HiSeq 2500	PAIRED	GENOMIC	1	2016-08-15	11277	7031	Heliconius erato	ILLUMINA	2016-08-17	SRR4032644	SRS1615516	STRI_6405	1	NA	Panama	STRI_6405	NA	male		all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572291	SRX2020826	Illumina HiSeq 2500	PAIRED	GENOMIC	2	2016-08-16	17947	11137	Heliconius erato	ILLUMINA	2016-08-17	SRR4032645	SRS1615517	STRI_6659	2	NA	Panama	STRI_6659	NA	female		all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572300	SRX2020827	Illumina HiSeq 2500	PAIRED	GENOMIC	11	2016-08-15	3577	2256	Heliconius erato	ILLUMINA	2016-08-17	SRR4032646	SRS1615518	STRI_6530	11	NA	Panama	STRI_6530	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572390	SRX2020828	Illumina HiSeq 2500	PAIRED	GENOMIC	101	2016-08-15	6918	4133	Heliconius erato	ILLUMINA	2016-08-17	SRR4032647	SRS1615519	STRI_6611	101	NA	Panama	STRI_6611	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572301	SRX2020829	Illumina HiSeq 2500	PAIRED	GENOMIC	12	2016-08-15	2945	1856	Heliconius erato	ILLUMINA	2016-08-17	SRR4032648	SRS1615520	STRI_6531	12	NA	Panama	STRI_6531	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572302	SRX2020830	Illumina HiSeq 2500	PAIRED	GENOMIC	13	2016-08-15	3217	2050	Heliconius erato	ILLUMINA	2016-08-17	SRR4032649	SRS1615521	STRI_6532	13	NA	Panama	STRI_6532	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572303	SRX2020831	Illumina HiSeq 2500	PAIRED	GENOMIC	14	2016-08-15	3206	2019	Heliconius erato	ILLUMINA	2016-08-17	SRR4032650	SRS1615522	STRI_6533	14	NA	Panama	STRI_6533	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572304	SRX2020832	Illumina HiSeq 2500	PAIRED	GENOMIC	15	2016-08-15	3263	2081	Heliconius erato	ILLUMINA	2016-08-17	SRR4032651	SRS1615523	STRI_6534	15	NA	Panama	STRI_6534	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572305	SRX2020833	Illumina HiSeq 2500	PAIRED	GENOMIC	16	2016-08-15	4019	2550	Heliconius erato	ILLUMINA	2016-08-17	SRR4032652	SRS1615524	STRI_6539	16	NA	Panama	STRI_6539	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05572306	SRX2020834	Illumina HiSeq 2500	PAIRED	GENOMIC	17	2016-08-15	3107	1970	Heliconius erato	ILLUMINA	2016-08-17	SRR4032653	SRS1615525	STRI_6542	17	NA	Panama	STRI_6542	NA			all	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
