AvgSpotLen	Experiment	InsertSize	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	analysis_type	gssr_ids	work_request	Assay_Type	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	LibrarySelection	LibrarySource	Organism	SRA_Sample	SRA_Study	Sample_Name	Sample_name	geographic_location_country_and_or_sea_region	isolate	isolation_source	sex
290	SRX030378	0	454 GS FLX	SINGLE	454-1024	2012-01-19	0	2	LS454	2010-11-05	SRR071585				WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
289	SRX030379	0	454 GS FLX	SINGLE	454-1024	2012-01-19	0	1	LS454	2010-11-05	SRR071586				WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
72	SRX030380	420	Illumina Genome Analyzer II	PAIRED	Solexa-24164	2014-05-28	2646	17671	ILLUMINA	2010-11-05	SRR071587	AssemblyWithReference	19439.4, 19439.5	21438	WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
202	SRX030381	419	Illumina HiSeq 2000	PAIRED	Solexa-36943	2014-05-28	26687	15774	ILLUMINA	2010-12-06	SRR071588	AssemblyWithReference	19439.4, 19439.5	21438	WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
202	SRX030382	180	Illumina Genome Analyzer II	PAIRED	Solexa-20767	2014-05-28	5827	36178	ILLUMINA	2010-11-05	SRR071589	WGSNoRef		21032	WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
286	SRX030383	0	454 GS FLX	SINGLE	454-1024	2012-01-19	0	0	LS454	2010-11-05	SRR071590				WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
202	SRX030384	420	Illumina HiSeq 2000	PAIRED	Solexa-36940	2014-05-28	26840	15914	ILLUMINA	2010-12-06	SRR071591	AssemblyWithReference	19439.4, 19439.5	21438	WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
72	SRX030385	420	Illumina Genome Analyzer II	PAIRED	Solexa-24164	2014-05-28	2650	17693	ILLUMINA	2010-11-05	SRR071592	AssemblyWithReference	19439.4, 19439.5	21438	WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
202	SRX030386	180	Illumina Genome Analyzer II	PAIRED	Solexa-20767	2014-05-28	6463	40223	ILLUMINA	2010-11-05	SRR071593	WGSNoRef		21032	WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
202	SRX030387	180	Illumina Genome Analyzer II	PAIRED	Solexa-20767	2014-05-28	6196	38352	ILLUMINA	2010-11-05	SRR071594	WGSNoRef		21032	WGS	PRJNA59571	SAMN00117560	BI	public	sra	ncbi	RANDOM	GENOMIC	Oreochromis niloticus	SRS119092	SRP004172	PRJNA167910.000638D3DF	000638D3DF	missing	000638D3DF	blood	female
