study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	library_strategy	read_count	base_count	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_bytes	sra_ftp	sample_title
PRJEB10586	SAMEA3532832	ERS839981	ERX1092159	ERR1013135	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	170208621	33859396900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013135/ERR1013135.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013135/ERR1013135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013135/ERR1013135_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013135/ERR1013135.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013135/ERR1013135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013135/ERR1013135_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G111.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G111.recal.bam	22087375034	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1013135	long-tailed finch (BAM)
PRJEB10586	SAMEA3532833	ERS839982	ERX1092160	ERR1013136	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	214953881	42806510700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013136/ERR1013136.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013136/ERR1013136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013136/ERR1013136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013136/ERR1013136.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013136/ERR1013136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013136/ERR1013136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G118.realigned.mateFixed.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G118.realigned.mateFixed.bam	30830351159	ftp.sra.ebi.ac.uk/vol1/err/ERR101/006/ERR1013136	long-tailed finch (BAM)
PRJEB10586	SAMEA3532834	ERS839983	ERX1092161	ERR1013137	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	325810818	64706248800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013137/ERR1013137.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013137/ERR1013137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013137/ERR1013137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013137/ERR1013137.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013137/ERR1013137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013137/ERR1013137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G163.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G163.recal.bam	42098743452	ftp.sra.ebi.ac.uk/vol1/err/ERR101/007/ERR1013137	long-tailed finch (BAM)
PRJEB10586	SAMEA3532835	ERS839984	ERX1092162	ERR1013138	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	159666450	31717115400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013138/ERR1013138.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013138/ERR1013138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013138/ERR1013138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013138/ERR1013138.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013138/ERR1013138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013138/ERR1013138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G169.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G169.recal.bam	20880949200	ftp.sra.ebi.ac.uk/vol1/err/ERR101/008/ERR1013138	long-tailed finch (BAM)
PRJEB10586	SAMEA3532836	ERS839985	ERX1092163	ERR1013139	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	120164591	23956734200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013139/ERR1013139.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013139/ERR1013139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013139/ERR1013139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013139/ERR1013139.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013139/ERR1013139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013139/ERR1013139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G183.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G183.recal.bam	15569673487	ftp.sra.ebi.ac.uk/vol1/err/ERR101/009/ERR1013139	long-tailed finch (BAM)
PRJEB10586	SAMEA3532837	ERS839986	ERX1092164	ERR1013140	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	134417038	26767235200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013140/ERR1013140.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013140/ERR1013140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013140/ERR1013140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013140/ERR1013140.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013140/ERR1013140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013140/ERR1013140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G250.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G250.recal.bam	17565842933	ftp.sra.ebi.ac.uk/vol1/err/ERR101/000/ERR1013140	long-tailed finch (BAM)
PRJEB10586	SAMEA3532838	ERS839987	ERX1092165	ERR1013141	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	121005275	24116398700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013141/ERR1013141.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013141/ERR1013141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013141/ERR1013141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013141/ERR1013141.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013141/ERR1013141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013141/ERR1013141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G276.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G276.recal.bam	15724816213	ftp.sra.ebi.ac.uk/vol1/err/ERR101/001/ERR1013141	long-tailed finch (BAM)
PRJEB10586	SAMEA3532839	ERS839988	ERX1092166	ERR1013142	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	220864628	43955834400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013142/ERR1013142.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013142/ERR1013142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013142/ERR1013142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013142/ERR1013142.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013142/ERR1013142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013142/ERR1013142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G294.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/G294.recal.bam	28434484852	ftp.sra.ebi.ac.uk/vol1/err/ERR101/002/ERR1013142	long-tailed finch (BAM)
PRJEB10586	SAMEA3532840	ERS839989	ERX1092167	ERR1013143	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	127665385	25439869300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013143/ERR1013143.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013143/ERR1013143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013143/ERR1013143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013143/ERR1013143.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013143/ERR1013143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013143/ERR1013143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/W2703.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/W2703.recal.bam	16652364686	ftp.sra.ebi.ac.uk/vol1/err/ERR101/003/ERR1013143	long-tailed finch (BAM)
PRJEB10586	SAMEA3532841	ERS839990	ERX1092168	ERR1013144	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	189053399	37597641900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013144/ERR1013144.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013144/ERR1013144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013144/ERR1013144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013144/ERR1013144.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013144/ERR1013144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013144/ERR1013144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/W2994.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/W2994.recal.bam	24622157702	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1013144	long-tailed finch (BAM)
