BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	isolate	sex	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	dev_stage	tissue
SAMN04296347	SRX1452605	PMBE-1198-1198-lib2	2015-11-25	8605	5988	SRR2961328	SRS1180333	1198	1198	female	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296348	SRX1452864	PMBE-973-973-lib1	2015-11-27	5664	3756	SRR2961671	SRS1180558	973	973	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296348	SRX1452864	PMBE-973-973-lib1	2015-11-28	5692	3765	SRR2961672	SRS1180558	973	973	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296347	SRX1452605	PMBE-1198-1198-lib2	2015-11-26	8698	6056	SRR2961673	SRS1180333	1198	1198	female	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296349	SRX1452865	PMBE-477-477-lib1	2015-11-26	4736	3290	SRR2961674	SRS1180559	477	477	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296349	SRX1452865	PMBE-477-477-lib1	2015-11-26	4797	3335	SRR2961675	SRS1180559	477	477	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296350	SRX1452866	PMBE-935-935-lib1	2015-11-28	5892	3734	SRR2961676	SRS1180560	935	935	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296350	SRX1452866	PMBE-935-935-lib1	2015-11-28	5860	3706	SRR2961677	SRS1180560	935	935	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296351	SRX1452867	PMBE-52-52-lib2	2015-11-28	3922	2497	SRR2961678	SRS1180561	52	52	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296351	SRX1452867	PMBE-52-52-lib2	2015-11-28	3937	2512	SRR2961679	SRS1180561	52	52	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296352	SRX1452870	PMBE-731-731-lib2	2015-11-28	8533	5578	SRR2961680	SRS1180564	731	731	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
SAMN04296352	SRX1452870	PMBE-731-731-lib2	2015-11-28	8480	5557	SRR2961681	SRS1180564	731	731	male	WGS	200	PRJNA304164	Model organism or animal	UNIVERSITY OF SHEFFIELD	public	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Parus major	ILLUMINA	2016-01-20	SRP066678	Hatching	blood
