Assay_Type	AvgSpotLen	BioSample	Experiment	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	collection_date	geo_loc_name	isolate	lat_lon	sub_species	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySource	Platform	ReleaseDate	SRA_Study	age	dev_stage	sex	tissue
WGS	202	SAMN04884558	SRX1764074	Illumina HiSeq 2500	RANDOM	ww_reseq_00G03_1	5/17/16	1196	572	Phylloscopus trochilus trochilus	SRR3511910	SRS1419175	ww_00G/03	5/24/00	Sweden: Stensoffa	00G/03	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884558	SRX1764075	Illumina HiSeq 2500	RANDOM	ww_reseq_00G03_2	5/17/16	1525	707	Phylloscopus trochilus trochilus	SRR3511911	SRS1419175	ww_00G/03	5/24/00	Sweden: Stensoffa	00G/03	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884558	SRX1764076	Illumina HiSeq 2500	RANDOM	ww_reseq_00G03_3	5/17/16	1534	716	Phylloscopus trochilus trochilus	SRR3511912	SRS1419175	ww_00G/03	5/24/00	Sweden: Stensoffa	00G/03	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884558	SRX1764077	Illumina HiSeq 2500	RANDOM	ww_reseq_00G03_4	5/17/16	1550	727	Phylloscopus trochilus trochilus	SRR3511913	SRS1419175	ww_00G/03	5/24/00	Sweden: Stensoffa	00G/03	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884558	SRX1764078	Illumina HiSeq 2500	RANDOM	ww_reseq_00G03_5	5/17/16	1565	733	Phylloscopus trochilus trochilus	SRR3511914	SRS1419175	ww_00G/03	5/24/00	Sweden: Stensoffa	00G/03	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884558	SRX1764079	Illumina HiSeq 2500	RANDOM	ww_reseq_00G03_6	5/17/16	1571	737	Phylloscopus trochilus trochilus	SRR3511915	SRS1419175	ww_00G/03	5/24/00	Sweden: Stensoffa	00G/03	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884559	SRX1764080	Illumina HiSeq 2500	RANDOM	ww_reseq_00G04_1	5/17/16	1035	491	Phylloscopus trochilus trochilus	SRR3511916	SRS1419176	ww_00G/04	5/24/00	Sweden: Stensoffa	00G/04	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884559	SRX1764081	Illumina HiSeq 2500	RANDOM	ww_reseq_00G04_2	5/17/16	1251	575	Phylloscopus trochilus trochilus	SRR3511917	SRS1419176	ww_00G/04	5/24/00	Sweden: Stensoffa	00G/04	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884559	SRX1764082	Illumina HiSeq 2500	RANDOM	ww_reseq_00G04_3	5/17/16	1264	586	Phylloscopus trochilus trochilus	SRR3511918	SRS1419176	ww_00G/04	5/24/00	Sweden: Stensoffa	00G/04	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
WGS	202	SAMN04884559	SRX1764083	Illumina HiSeq 2500	RANDOM	ww_reseq_00G04_4	5/17/16	1280	596	Phylloscopus trochilus trochilus	SRR3511919	SRS1419176	ww_00G/04	5/24/00	Sweden: Stensoffa	00G/04	55.7 N 13.399999999999977 E	trochilus	PRJNA319295	Model organism or animal	public	sra	ncbi	0	PAIRED	GENOMIC	ILLUMINA	4/28/17	SRP074112	2nd calendar year or older (2cy+)	adult	male	blood
