BioSample	ENA_LAST_UPDATE	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
SAMEA4032484	2016-06-20	ERX1532882	2433	1034	ERR1462404	ERS1203594	CAP247	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032484	2016-06-20	ERX1532883	4280	1595	ERR1462405	ERS1203594	CAP247	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032484	2016-06-20	ERX1532884	2753	1010	ERR1462406	ERS1203594	CAP247	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032485	2016-06-20	ERX1532885	2209	915	ERR1462407	ERS1203595	CAP248	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032485	2016-06-20	ERX1532886	2696	1119	ERR1462408	ERS1203595	CAP248	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032485	2016-06-20	ERX1532887	3213	1133	ERR1462409	ERS1203595	CAP248	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032485	2016-06-20	ERX1532888	2981	1055	ERR1462410	ERS1203595	CAP248	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032485	2016-06-20	ERX1532889	2407	852	ERR1462411	ERS1203595	CAP248	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032485	2016-06-20	ERX1532890	2949	1215	ERR1462412	ERS1203595	CAP248	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032486	2016-06-20	ERX1532891	5091	1849	ERR1462413	ERS1203596	CAP249	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032487	2016-06-20	ERX1532892	5092	1842	ERR1462414	ERS1203597	CAP252	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032488	2016-06-20	ERX1532893	2289	955	ERR1462415	ERS1203598	CAP255	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032488	2016-06-20	ERX1532894	2542	910	ERR1462416	ERS1203598	CAP255	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032489	2016-06-20	ERX1532895	3196	1334	ERR1462417	ERS1203599	ELS001	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032489	2016-06-20	ERX1532896	3540	1267	ERR1462418	ERS1203599	ELS001	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032490	2016-06-20	ERX1532897	2734	1123	ERR1462419	ERS1203600	ELS002	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032490	2016-06-20	ERX1532898	3161	1115	ERR1462420	ERS1203600	ELS002	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032491	2016-06-20	ERX1532899	2712	1117	ERR1462421	ERS1203601	IND570	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032491	2016-06-20	ERX1532900	3147	1105	ERR1462422	ERS1203601	IND570	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032492	2016-06-20	ERX1532901	2398	1002	ERR1462423	ERS1203602	IND571	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032492	2016-06-20	ERX1532902	2570	919	ERR1462424	ERS1203602	IND571	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032493	2016-06-20	ERX1532903	2139	885	ERR1462425	ERS1203603	IND572	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
SAMEA4032493	2016-06-20	ERX1532904	2475	875	ERR1462426	ERS1203603	IND572	WGS	252	PRJEB14402	UNIVERSITY OF OSLO	public	sra	ncbi	350	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	unspecified	2017-06-14	Thunnus albacares	ILLUMINA	2017-06-14	ERP016045
