study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	read_count	base_count	center_name	fastq_ftp	submitted_ftp	sra_ftp	sra_galaxy
PRJEB18566	SAMEA24914668	ERS1471334	ERX1821104	ERR1753737	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	314	400	PAIRED	WGS	GENOMIC	61375018	17961564150	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1753737/ERR1753737.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1753737/ERR1753737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1753737/ERR1753737_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/314.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/314.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/007/ERR1753737	ftp.sra.ebi.ac.uk/vol1/err/ERR175/007/ERR1753737
PRJEB18566	SAMEA24915418	ERS1471335	ERX1821105	ERR1753738	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	317	400	PAIRED	WGS	GENOMIC	65095509	18993267600	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1753738/ERR1753738.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1753738/ERR1753738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1753738/ERR1753738_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/317.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/317.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/008/ERR1753738	ftp.sra.ebi.ac.uk/vol1/err/ERR175/008/ERR1753738
PRJEB18566	SAMEA24916168	ERS1471336	ERX1821106	ERR1753739	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	320	400	PAIRED	WGS	GENOMIC	61589762	17949209850	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1753739/ERR1753739.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1753739/ERR1753739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1753739/ERR1753739_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/320.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/320.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/009/ERR1753739	ftp.sra.ebi.ac.uk/vol1/err/ERR175/009/ERR1753739
PRJEB18566	SAMEA24916918	ERS1471337	ERX1821107	ERR1753740	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	11-869	400	PAIRED	WGS	GENOMIC	51107936	14897559900	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1753740/ERR1753740.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1753740/ERR1753740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1753740/ERR1753740_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/11-869.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/11-869.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/000/ERR1753740	ftp.sra.ebi.ac.uk/vol1/err/ERR175/000/ERR1753740
PRJEB18566	SAMEA24919168	ERS1471340	ERX1821108	ERR1753741	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	319	400	PAIRED	WGS	GENOMIC	40733449	11871960150	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1753741/ERR1753741.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1753741/ERR1753741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1753741/ERR1753741_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/319.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/319.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/001/ERR1753741	ftp.sra.ebi.ac.uk/vol1/err/ERR175/001/ERR1753741
PRJEB18566	SAMEA24920668	ERS1471342	ERX1821109	ERR1753742	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	1430	400	PAIRED	WGS	GENOMIC	69183349	20268944400	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1753742/ERR1753742.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1753742/ERR1753742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1753742/ERR1753742_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1430.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1430.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/002/ERR1753742	ftp.sra.ebi.ac.uk/vol1/err/ERR175/002/ERR1753742
PRJEB18566	SAMEA24922168	ERS1471344	ERX1821110	ERR1753743	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	1434	400	PAIRED	WGS	GENOMIC	56125059	16432806600	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1753743/ERR1753743.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1753743/ERR1753743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1753743/ERR1753743_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1434.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1434.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/003/ERR1753743	ftp.sra.ebi.ac.uk/vol1/err/ERR175/003/ERR1753743
PRJEB18566	SAMEA24923668	ERS1471346	ERX1821111	ERR1753744	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	1685	400	PAIRED	WGS	GENOMIC	50972607	14897768550	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1753744/ERR1753744.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1753744/ERR1753744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1753744/ERR1753744_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1685.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1685.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/004/ERR1753744	ftp.sra.ebi.ac.uk/vol1/err/ERR175/004/ERR1753744
PRJEB18566	SAMEA24925168	ERS1471348	ERX1821112	ERR1753745	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	1708	400	PAIRED	WGS	GENOMIC	46755989	13685568600	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1753745/ERR1753745.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1753745/ERR1753745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1753745/ERR1753745_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1708.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1708.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/005/ERR1753745	ftp.sra.ebi.ac.uk/vol1/err/ERR175/005/ERR1753745
PRJEB18566	SAMEA24926668	ERS1471350	ERX1821113	ERR1753746	364601	Zosterops borbonicus borbonicus	Illumina HiSeq 2000	1337	400	PAIRED	WGS	GENOMIC	53186757	15560473950	UPS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1753746/ERR1753746.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1753746/ERR1753746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1753746/ERR1753746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1337.bam;ftp.sra.ebi.ac.uk/vol1/ERA775/ERA775301/bam/1337.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR175/006/ERR1753746	ftp.sra.ebi.ac.uk/vol1/err/ERR175/006/ERR1753746
